Factor,FactorSymbol,Level,R2Gate,PDIProbability,CandidateMultiplier,EliteArchiveSize,Dimension,Run,Seed,FinalFE,FinalObjective,RuntimeSeconds,Status
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,4,1314733,1000,1.88030248723818,180.4758326,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,5,1314734,1000,1.40442586825237,180.9187438,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,6,1314735,1000,1.25520826361705,189.5160072,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,7,1314736,1000,1.83017361753676,183.7260779,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,8,1314737,1000,1.79013644475639,182.9967518,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,9,1314738,1000,1.39913069439839,182.5656454,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,10,1314739,1000,2.03270669708533,187.5268141,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,1,844730,1000,0.000557284348915221,20.692347,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,2,844731,1000,0.0234505825471482,20.9109353,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,3,844732,1000,0.00136417870671457,21.1815997,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,4,844733,1000,0.0223555514958392,21.3066934,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,5,844734,1000,0.014119416192133,21.17834,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,6,844735,1000,0.000537514916177817,22.1855032,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,7,844736,1000,0.00467333273848491,21.6269101,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,8,844737,1000,0.0275642590711421,21.944957,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,9,844738,1000,0.00126371199197584,21.393561,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,30,10,844739,1000,0.0398339536172271,21.2698429,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,1,1314730,1000,3.19480272074126,179.7243131,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,2,1314731,1000,2.52458029222919,181.3600665,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,3,1314732,1000,1.96123278803907,180.8095648,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,4,1314733,1000,1.29594040773206,181.0072669,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,5,1314734,1000,2.51123857891602,180.4383311,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,6,1314735,1000,1.52254684211808,185.8069228,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,7,1314736,1000,1.30385147404436,184.0825548,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,8,1314737,1000,1.57835072425031,183.5342932,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,9,1314738,1000,1.56728192545871,188.322488,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.3,0.1,0.3,20,50,500,10,1314739,1000,1.52209398308555,183.9608262,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,1,844730,1000,0.00301611436761351,21.0074515,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,2,844731,1000,0.00585063348035486,20.9394453,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,3,844732,1000,0.00206618067183839,20.7897395,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,4,844733,1000,0.00535330260244649,20.7473314,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,5,844734,1000,0.000184963597242849,21.4592674,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,6,844735,1000,0.000803826508191108,21.3096275,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,7,844736,1000,0.00602466389852463,22.1079396,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,8,844737,1000,0.0381552010674775,21.3281659,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,9,844738,1000,0.000613229490203149,21.5531368,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,30,10,844739,1000,0.0399415503172578,21.6312443,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,1,1314730,1000,1.59275273732494,184.1821097,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,2,1314731,1000,2.07540475043961,183.6902106,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,3,1314732,1000,2.43667905190295,182.9912065,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,4,1314733,1000,2.45107045315796,186.4441437,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,5,1314734,1000,1.88153180326599,182.8028182,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,6,1314735,1000,2.01610948643546,156.8782084,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,7,1314736,1000,1.4485829130126,165.088853,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,8,1314737,1000,1.97502453805901,173.3633164,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,9,1314738,1000,1.73775456754583,182.7967411,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.4,0.1,0.4,20,50,500,10,1314739,1000,1.29525322385796,186.5533489,completed
CandidateMultiplier,$\kappa_c$,1,0.1,0.2,1,50,30,1,844730,1000,0.0127041887293872,16.5392555,completed
CandidateMultiplier,$\kappa_c$,1,0.1,0.2,1,50,30,2,844731,1000,0.0484985014467169,16.0687397,completed
CandidateMultiplier,$\kappa_c$,1,0.1,0.2,1,50,30,3,844732,1000,0.0310224826856368,15.9956076,completed
